"ATP","Location","Tournament","Date","Series","Court","Surface","Round","Best of","Winner","Loser","WRank","LRank","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","Comment","CBW","CBL","GBW","GBL","IWW","IWL","SBW","SBL","B365W","B365L","B&WW","B&WL","EXW","EXL","PSW","PSL","WPts","LPts","UBW","UBL","LBW","LBL","SJW","SJL","MaxW","MaxL","AvgW","AvgL"
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Gaudio G.","Novak J.","72","38","6","4","6","7","7","6","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Gustafsson M.","Johansson T.","60","43","6","2","6","3","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Norman M.","Gambill J.M.","14","57","6","3","6","3","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Rosset M.","van Lottum J.","46","66","6","3","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Schalken S.","Behrend T.","37","115","6","4","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Balcells J.","Ferrero J.C.","211","45","4","6","6","3","6","1","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Chang M.","Gustafsson M.","50","60","7","5","3","6","1","0","","","","","1","1","Retired","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Gaudio G.","Schalken S.","72","37","6","1","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Norman M.","Rosset M.","14","46","6","2","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","Semifinals","3","Chang M.","Balcells J.","50","211","6","3","3","6","6","2","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","Semifinals","3","Norman M.","Gaudio G.","14","72","6","4","7","5","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Auckland","Heineken Open","2000-10-01T00:00:00","International","Outdoor","Hard","The Final","3","Norman M.","Chang M.","14","50","3","6","6","3","7","5","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Arazi H.","Mantilla F.","42","25","6","3","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Clavet F.","Kuerten G.","39","5","6","4","3","6","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Clement A.","Zabaleta M.","55","32","4","6","6","3","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Corretja A.","Pioline C.","28","15","6","4","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Dosedel S.","Woodforde M.","69","128","6","3","6","3","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Hewitt L.","Grosjean S.","21","27","6","4","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Hrbaty D.","Ullyett K.","23","193","6","1","7","5","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Ilie A.","Costa A.","47","18","3","6","7","6","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Koubek S.","Meligeni F.","40","29","7","6","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Kucera K.","Damm M.","17","88","7","6","6","1","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Lapentti N.","El Aynaoui Y.","7","31","3","6","6","3","6","3","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Ljubicic I.","Safin M.","79","24","6","7","6","3","6","3","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Martin T.","Medvedev A.","8","33","6","1","6","7","6","3","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Stoltenberg J.","Diaz J.","94","84","6","1","6","7","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Vacek D.","Lisnard J.","41","127","6","4","7","6","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","1st Round","3","Voinea A.","Spadea V.","102","20","3","6","7","6","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Corretja A.","Arazi H.","28","42","3","6","6","3","7","6","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Dosedel S.","Ilie A.","69","47","6","3","7","5","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Hewitt L.","Clavet F.","21","39","6","3","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Kucera K.","Clement A.","17","55","6","2","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Lapentti N.","Koubek S.","7","40","4","6","6","0","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Ljubicic I.","Martin T.","79","8","7","6","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Stoltenberg J.","Hrbaty D.","94","23","6","4","2","6","6","4","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","2nd Round","3","Voinea A.","Vacek D.","102","41","7","5","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Corretja A.","Dosedel S.","28","69","3","6","7","5","6","3","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Hewitt L.","Voinea A.","21","102","6","3","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Ljubicic I.","Kucera K.","79","17","6","3","3","6","7","5","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","Quarterfinals","3","Stoltenberg J.","Lapentti N.","94","7","4","6","7","5","6","1","","","","","2","1","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","Semifinals","3","Hewitt L.","Corretja A.","21","28","6","4","6","4","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","Semifinals","3","Stoltenberg J.","Ljubicic I.","94","79","6","2","6","2","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Sydney","Sydney International","2000-10-01T00:00:00","International","Outdoor","Hard","The Final","3","Hewitt L.","Stoltenberg J.","21","94","6","4","6","0","","","","","","","2","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","Melbourne","Australian Open","2000-01-17T00:00:00","Grand Slam","Outdoor","Hard","1st Round","5","Agassi A.","Puerta M.","1","112","6","2","6","2","6","3","","","","","3","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","Melbourne","Australian Open","2000-01-17T00:00:00","Grand Slam","Outdoor","Hard","1st Round","5","Alami K.","Manta L.","35","107","6","4","7","6","7","5","","","","","3","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","Melbourne","Australian Open","2000-01-17T00:00:00","Grand Slam","Outdoor","Hard","1st Round","5","Arazi H.","Alonso J.","41","111","6","3","7","6","6","2","","","","","3","0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","Melbourne","Australian Open","2000-01-17T00:00:00","Grand Slam","Outdoor","Hard","1st Round","5","Behrend T.","Meligeni F.","106","28","6","2","4","6","6","7","6","3","6","0","3","2","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
